local authority: district / unitary (as of April 2023),mnemonic,Total_population,No qualifications,Level 1 and entry level qualifications,Level 2 qualifications,Apprenticeship,Level 3 qualifications,Level 4 qualifications or above,Other qualifications,,,,,,,,
Rushcliffe,E07000176,119078,181.68,107.27,181.65,67.83,257.94,685.19,32.44,,,,,,,,
Rushmoor,E07000092,99758,229.34,148.45,178.52,69.95,214.57,373.60,38.47,,,,,,,,
Rutland,E06000017,41050,69.58,45.75,81.77,29.99,90.40,201.59,12.32,,,,,,,,
Salford,E08000006,269927,663.53,310.27,421.88,181.06,571.85,1125.97,86.14,,,,,,,,
Sandwell,E08000028,341835,1190.43,473.86,560.44,197.65,611.41,934.45,153.21,,,,,,,,
Sefton,E08000014,279231,710.95,370.04,507.06,213.92,628.69,1076.66,93.03,,,,,,,,
Sevenoaks,E07000111,120516,233.74,143.79,217.83,71.90,233.95,558.86,36.56,,,,,,,,
Sheffield,E08000019,556519,1369.93,642.23,830.23,385.22,1312.41,2357.88,170.59,,,,,,,,
Shropshire,E06000051,323608,706.04,405.19,633.65,256.62,734.61,1371.12,110.56,,,,,,,,
Slough,E06000039,158498,371.30,197.75,222.10,77.52,250.69,641.75,81.49,,,,,,,,
Solihull,E08000029,216236,474.72,257.53,382.53,125.01,437.91,958.17,67.63,,,,,,,,
Somerset,E06000066,571550,1256.06,751.39,1125.85,477.47,1298.05,2244.92,204.32,,,,,,,,
South Cambridgeshire,E07000012,162116,238.73,156.40,235.70,93.71,285.85,966.35,42.90,,,,,,,,
South Derbyshire,E07000039,107203,215.69,133.17,198.97,84.26,253.54,428.65,32.86,,,,,,,,
South Gloucestershire,E06000025,290423,523.53,371.76,526.11,234.59,719.48,1212.03,89.89,,,,,,,,
South Hams,E07000044,88628,150.67,98.05,156.80,68.12,196.48,462.89,28.48,,,,,,,,
South Holland,E07000140,95119,300.54,152.51,192.48,86.77,196.37,245.81,49.39,,,,,,,,
South Kesteven,E07000141,143400,309.28,192.60,278.05,119.40,329.00,550.82,49.17,,,,,,,,
South Norfolk,E07000149,141948,309.79,183.06,272.07,109.15,314.41,581.84,45.72,,,,,,,,
South Oxfordshire,E07000179,149080,234.08,160.33,238.77,90.43,295.99,820.33,42.28,,,,,,,,
South Ribble,E07000126,111042,222.41,136.06,199.64,103.46,269.91,452.93,33.15,,,,,,,,
South Staffordshire,E07000196,110474,279.04,147.41,209.30,91.78,254.45,425.24,39.35,,,,,,,,
South Tyneside,E08000023,147777,384.98,190.92,269.46,150.37,344.94,491.22,47.24,,,,,,,,
Southampton,E06000045,248912,548.14,301.64,397.71,171.91,650.56,1001.80,94.43,,,,,,,,
Southend-on-Sea,E06000033,180685,446.54,272.56,358.67,115.14,391.82,617.10,66.43,,,,,,,,
Southwark,E09000028,307641,550.23,245.57,311.94,100.84,489.16,2176.93,93.53,,,,,,,,
Spelthorne,E07000213,102953,217.08,143.01,186.34,67.66,204.92,433.73,38.75,,,,,,,,
St Albans,E07000240,148173,182.55,120.45,206.33,62.02,235.77,953.35,38.08,,,,,,,,
St. Helens,E08000013,183245,499.56,241.89,342.06,150.71,405.18,633.69,59.65,,,,,,,,
