local authority: district / unitary (as of April 2023),mnemonic,Total,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,,,,,,,,,,,,,
Chichester,E07000225,124068,300.32,0.74,11.17,10.16,1.27,3.55,403.12,27.34,24.00,81.83,9.74,,,,,,,,,,,,,
Chorley,E07000118,117731,256.87,0.42,7.42,13.77,2.91,2.82,495.45,36.52,9.82,53.68,7.19,,,,,,,,,,,,,
City of London,E09000001,8579,55.80,5.41,1.47,2.05,0.33,0.20,1.92,0.20,2.96,11.74,0.84,,,,,,,,,,,,,
Colchester,E07000071,192716,436.35,1.87,32.05,41.92,6.77,7.06,675.76,51.57,35.23,124.00,12.97,,,,,,,,,,,,,
Conwy,W06000003,114741,176.32,0.43,4.51,22.32,2.63,2.63,438.38,30.54,8.37,60.34,8.41,,,,,,,,,,,,,
Cornwall,E06000052,570304,973.43,1.24,19.75,52.83,10.63,29.82,2210.00,160.78,46.29,387.66,46.49,,,,,,,,,,,,,
Cotswold,E07000079,90834,266.91,0.62,2.43,3.36,0.64,2.31,311.39,21.33,8.20,59.46,6.26,,,,,,,,,,,,,
County Durham,E06000047,522062,821.32,1.52,11.31,115.85,21.91,9.06,1975.72,182.84,24.90,243.44,34.89,,,,,,,,,,,,,
Coventry,E08000026,345328,599.16,2.34,22.57,169.60,35.03,7.36,1088.11,152.51,43.64,178.18,27.61,,,,,,,,,,,,,
Crawley,E07000226,118495,246.38,1.47,27.20,73.64,5.61,4.15,430.43,39.44,16.58,56.44,11.22,,,,,,,,,,,,,
Croydon,E09000008,390718,1099.60,126.20,266.92,308.35,13.70,22.53,811.52,54.33,37.52,155.20,38.56,,,,,,,,,,,,,
Cumberland,E06000063,273244,444.98,0.77,10.95,56.45,6.38,7.39,1109.49,93.85,30.50,199.75,18.73,,,,,,,,,,,,,
Dacorum,E07000096,155082,468.28,4.32,25.41,16.14,6.04,4.68,531.04,38.16,9.37,81.79,10.77,,,,,,,,,,,,,
Darlington,E06000005,107807,185.32,0.28,6.24,21.77,11.15,1.89,394.86,42.48,14.97,77.18,7.58,,,,,,,,,,,,,
Dartford,E07000107,116756,282.23,7.36,70.85,30.41,6.10,6.65,410.43,29.50,8.24,50.54,9.03,,,,,,,,,,,,,
Denbighshire,W06000004,95816,133.24,0.20,3.66,15.32,2.93,2.46,378.00,31.48,7.81,51.88,5.83,,,,,,,,,,,,,
Derby,E06000015,261354,422.33,1.29,8.32,92.68,31.99,8.47,897.05,103.88,45.80,171.64,16.81,,,,,,,,,,,,,
Derbyshire Dales,E07000035,71536,176.24,0.25,1.74,4.90,0.82,1.44,262.94,16.11,4.68,41.13,4.54,,,,,,,,,,,,,
Doncaster,E08000017,308108,395.11,0.95,18.14,97.42,24.21,6.71,1236.66,143.97,38.34,151.77,22.50,,,,,,,,,,,,,
Dorset,E06000059,379578,734.30,1.60,11.33,29.25,5.78,15.63,1401.66,87.63,46.06,239.04,27.03,,,,,,,,,,,,,
Dover,E07000108,116407,190.42,0.81,15.85,17.04,4.09,4.09,431.16,36.31,10.44,69.13,9.64,,,,,,,,,,,,,
Dudley,E08000027,323495,486.99,1.95,29.27,94.89,22.84,8.72,1321.29,110.07,19.57,125.91,19.35,,,,,,,,,,,,,
Ealing,E09000009,367122,978.16,314.79,89.67,291.88,11.79,23.72,665.27,47.75,77.87,174.07,36.64,,,,,,,,,,,,,
East Cambridgeshire,E07000009,87762,241.78,0.25,13.85,4.96,1.63,2.68,352.22,22.82,12.58,34.25,5.42,,,,,,,,,,,,,
East Devon,E07000040,150821,306.09,0.40,8.37,17.96,1.75,6.83,539.75,33.29,18.23,90.72,10.40,,,,,,,,,,,,,
East Hampshire,E07000085,125741,358.51,0.65,10.95,6.46,1.53,3.64,470.84,30.49,7.54,57.48,8.27,,,,,,,,,,,,,
East Hertfordshire,E07000242,150160,484.58,4.99,46.99,15.68,3.59,3.27,499.34,28.21,9.30,78.83,10.78,,,,,,,,,,,,,
East Lindsey,E07000137,142292,170.31,0.31,1.29,9.53,2.51,3.64,512.71,35.90,18.48,96.43,9.93,,,,,,,,,,,,,
East Riding of Yorkshire,E06000011,342217,597.52,0.88,12.12,29.99,6.01,10.80,1382.84,99.00,62.95,190.08,26.54,,,,,,,,,,,,,
East Staffordshire,E07000193,124019,205.04,0.40,3.45,11.59,14.87,4.43,510.40,52.43,20.85,86.99,8.52,,,,,,,,,,,,,
East Suffolk,E07000244,246055,430.29,1.08,7.93,19.16,5.14,9.81,910.41,56.59,56.75,128.17,22.53,,,,,,,,,,,,,
Eastbourne,E07000061,101685,156.86,0.82,18.51,23.33,6.48,3.55,332.83,30.81,16.22,81.88,7.76,,,,,,,,,,,,,
Eastleigh,E07000086,136446,370.16,0.64,13.22,12.84,2.93,6.52,547.59,36.42,17.79,59.32,9.56,,,,,,,,,,,,,
Elmbridge,E07000207,138757,557.47,4.48,42.74,10.61,2.14,6.06,316.79,17.96,22.17,47.45,9.82,,,,,,,,,,,,,
