Total_deaths,Asian,Black,Mixed,White,Other_ethnics,No_religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,No_answer,No_qualifications,Level1_entry_level_qualifications,Level2_qualifications,Apprenticeship,Level3_qualifications,Level4_qualifications_above,Remote_jobs,Underground_metro_light.rail_tram,Train,Bus_minibus_coach,Taxi,Motorcycle_scooter_moped,Driving,Passenger_in_a_car_van,Bicycle,On_foot,Other_methods,Children,Pre_Teens,Teenagers,Adults,Middle_Aged,Elderly
0.83,335.04,55.17,114.8,1682.03,69.83,1009.5,795.31,25.84,51.14,16.38,114.52,4.99,221.78,185.24,92.79,133.11,50.13,351.46,1079.31,497.51,1.32,12.49,38.96,6.55,5.78,208.92,23.7,183.37,106.25,8.86,89.58,53.96,70.8,344.11,189.85,251.7
1.47,589.37,292.69,215.94,1937.56,219.99,1127.49,1022.2,37.34,61.83,156.15,524.11,7.54,290.38,324.54,139.37,197.93,52.71,389.7,1579.19,900.27,160.36,44.18,101.2,11.36,8.46,109.59,7.9,61.86,164.53,18.44,94.73,58.64,56.19,298.42,211.33,280.69
2.64,18.72,7.31,22.03,1504.81,4.49,639.75,816.57,3.44,2.51,0.45,5.36,5.87,76.46,280.94,152.23,202.63,77.29,240.46,290.46,147.63,0.11,6.52,9.16,4.12,3.41,484.27,42.4,6.69,47.02,5.9,112.03,67.43,39.75,189.36,184.26,407.18
2.86,98.8,60.51,66.87,2176.29,36.52,1023.86,1137.36,14.89,20.09,4.8,44.54,4.32,171.38,333.94,183.51,257.15,100.02,446.6,680.06,311.54,1.63,23.81,29.53,3.25,4.01,474.12,38.62,17.12,110.69,10.74,92.55,64.05,69.08,208.76,162.35,403.2
4.07,24.01,18.27,22.4,1316.58,6.6,603.98,674.62,3.69,6.74,10.24,11.03,1.21,71.14,275.04,157.3,195.7,78.02,196.12,212.98,180.83,1.89,28.49,12.52,2.56,3.14,335.35,23.8,6.54,33.19,7.05,102.12,67.26,40.67,160.41,170.44,459.1
1.97,159.9,108.73,137.65,4113.98,38.45,1952.08,2182.95,15.43,47.02,9.61,61.43,21.67,247.43,551.51,381.89,540.57,217.97,667.84,1218.55,807.98,3.18,47.13,24.17,5.78,7.28,1190.14,77.09,23.32,135.62,18.89,123.45,71.93,38.98,180.6,202.71,382.32
1.76,354.05,44,72.2,2346.49,33.43,1160.43,1182.5,9.96,190.22,2.31,88.35,31.64,169.97,373.71,214.7,293.89,139.15,522.81,772.83,397.2,0.88,6.32,30.6,3.63,4.76,683.18,49,30.06,97.2,10.95,103.45,64.34,64.21,210.83,181.16,376
2.28,149.44,73.68,73.19,2489.67,26.28,1157.93,1350.66,13.6,47.78,6,56.8,4.4,163.37,347.05,237.32,348.78,118.07,401.52,775.96,534.84,3.97,45.1,31.51,3.16,5.28,593.09,39.88,26.72,96.53,12.13,113.88,72.23,41.93,181.52,203.22,387.22
1.82,76.25,18.3,45.69,1681.86,18.98,816.97,837.73,8.66,18.47,3.07,27.02,2.8,116.75,204.21,121.59,191.15,67.19,246.12,657.52,336.36,0.39,3.86,26.6,1.83,3.64,355.69,30.68,36.75,113.41,7.31,102.96,68.72,45.69,204.83,195.34,382.47
1.43,150.37,44.08,71.48,2197.33,31.28,949.48,1254.7,13.94,19.26,3.1,80.65,9.64,151.1,324.59,212.67,281.48,113.17,325.07,710.18,423.61,0.64,15.91,29.23,6.77,5.34,612.08,51.95,33.4,126.03,11.42,116.59,72.39,40.06,191.47,207.95,371.54
2.28,147.66,37.52,109.36,5833.63,49.84,2327.87,3356.14,20.36,31.7,9.92,64.14,5.75,337.97,767.25,442.64,698.95,300.46,857.87,1917.75,1050.82,1.52,25.25,20.57,14.42,10.27,1447.66,115.48,54.8,216.12,25.21,105.39,68.39,38.39,159.76,187.68,440.4
2.42,112.03,32.64,81.97,5273.07,33.45,2091.89,3016.48,16.64,24.03,4.46,54.32,3.89,302.29,724.6,425.53,626.94,246.55,812.76,1632.72,823.96,1.39,20,45.13,15.31,10.36,1329.64,102.62,52.66,194.32,24.2,104.89,68.12,41.31,177.47,185.21,422.99
2,30.21,13,23.21,1531.55,6.57,713.68,765.64,4.11,5.53,0.54,15.18,2.68,89.47,269.26,145.38,202.18,85.44,239.34,357.15,166.89,0.29,4.4,30.4,9.51,3.16,411.79,37.79,7.05,59.14,6.01,103.2,66.42,37.09,177.42,182.14,433.74
2.32,33.59,12.13,31.71,1834.38,10.36,743.29,1021.12,9.47,4.83,3.5,10.61,0.67,118.36,240.69,143.51,222.47,82.67,287.96,604.09,300.32,0.74,11.17,10.16,1.27,3.55,403.12,27.34,24,81.83,9.74,92.29,63.74,42.27,153.87,161.81,486.03
1.92,34.15,10.12,27.47,1744.28,7.98,563.67,1122.25,4.43,5.19,0.91,25.53,0.91,92.8,238.93,139.54,208.65,100.16,267.46,505.28,256.87,0.42,7.42,13.77,2.91,2.82,495.45,36.52,9.82,53.68,7.19,110.71,70.75,38.49,166.48,196.89,416.69
1.28,22.39,3.59,7.28,92.26,7.47,58.3,46.11,1.47,3.14,2.74,8.37,0.09,11.88,8.2,3.45,6.07,1.24,10.97,92.01,55.8,5.41,1.47,2.05,0.33,0.2,1.92,0.2,2.96,11.74,0.84,43.59,24.01,21.56,370.44,211.56,328.83
1.82,153.49,103.2,86.79,2598.12,44.08,1324.37,1326.24,20.47,39.44,5.04,62.3,3.61,186.48,372.49,249.79,359.37,126.09,471.28,780.84,436.35,1.87,32.05,41.92,6.77,7.06,675.76,51.57,35.23,124,12.97,117.39,71.36,47.34,207.36,196.66,359.89
0.88,62.47,16.39,108.91,8553.92,93.81,4090.62,4014.83,32.21,8.47,7.85,20.65,2.01,590.79,1207.17,738.62,1121.15,487.32,1393.64,2260.21,973.43,1.24,19.75,52.83,10.63,29.82,2210,160.78,46.29,387.66,46.49,97.82,65.04,41,155.37,170.08,470.69
1.46,18.51,6.23,21.58,1355.76,5.11,516.06,783.88,5.16,3.67,2.46,3.66,1.01,84.84,161.73,104.85,164.84,56.84,194.82,470.51,266.91,0.62,2.43,3.36,0.64,2.31,311.39,21.33,8.2,59.46,6.26,95.03,64.83,38.12,138.05,174.73,489.23
2.58,121.37,26.96,76.67,7831.05,32.12,3124.67,4417.97,19.99,15.34,4.43,45.27,13,413.45,1406.79,640.76,956.26,419.24,1338.78,1797.43,821.32,1.52,11.31,115.85,21.91,9.06,1975.72,182.84,24.9,243.44,34.89,101.73,67.04,49.29,178.02,175.14,428.78
1.72,990.21,475.98,181.74,3505.14,196.85,1585.48,2348.32,19.47,212.62,4.01,554.63,267.98,327.92,831.5,426.7,541,221.3,813.75,1312.08,599.16,2.34,22.57,169.6,35.03,7.36,1088.11,152.51,43.64,178.18,27.61,122.81,75.42,62.17,236.34,191.42,311.84
1.69,282.52,82.59,74.95,1346.91,48.77,643.79,782.33,8.2,94.35,1.49,178.49,13.18,104.11,258.45,192.46,236.35,75.84,237.94,399.29,246.38,1.47,27.2,73.64,5.61,4.15,430.43,39.44,16.58,56.44,11.22,132.63,77.72,43.22,212.45,224.44,309.55
2.34,1061.04,1370.18,460.83,2927.87,233.41,1566.59,2957.22,36.73,358.58,9.43,630.81,25.62,418.84,772.72,439.52,592.45,182.6,705.45,1972.86,1099.6,126.2,266.92,308.35,13.7,22.53,811.52,54.33,37.52,155.2,38.56,128.39,77.19,45.08,206.7,219.43,323.23
